giniIndex,percentNoWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x
.43790001,5.816597,2.79,95.800003,55.299999,52500,1,4.3390636,0,84.80706,43.700001,16.299999,5.7169299,1,52500
.40369999,10.152058,2.71,94.099998,38.900002,40700,3,5.6745481,1.0946052,90.605042,44.299999,15.3,4.8403363,3,40700
.36770001,15.676568,2.6099999,92.400002,24.700001,31764,2,5.0131927,0,96.171478,44.400002,14.5,8.2989454,2,31764
.41859999,9.7499094,2.6600001,96.300003,49.099998,44374,2.4000001,7.2617946,0,82.479454,39.5,12.7,7.6849313,2.4000001,44374
.3344,11.818182,2.6500001,87.400002,36,28911,0,5.6300268,0,75.594147,33.099998,17.4,8.0438757,0,28911
.4021,13.32408,2.6199999,93.800003,28.1,31306,3.9000001,3.8129609,0,93.907722,39.700001,13.5,8.9830513,3.9000001,31306
.4287,12.744331,2.6600001,98.900002,61.299999,59891,1.7,4.424334,0,93.66391,48.400002,18.1,5.7239056,1.7,59891
.32609999,7.246377,2.71,88.099998,29.1,39122,0,4.0801187,0,97.755379,48.200001,16.6,3.8021071,0,39122
.3416,7.506887,2.9000001,98,45.099998,37904,.30000001,4.0679388,0,91.717018,40.200001,11.4,5.0100703,.30000001,37904
.42089999,8.5427523,2.8099999,94.099998,56.700001,45803,2.5,4.4030867,0,72.552368,41.700001,15.599999,6.4439487,2.5,45803
.4269,21.137741,2.4000001,82.099998,15.9,25977,4.5999999,8.3249302,.13131018,69.208595,40.099998,15.7,4.7810011,4.5999999,25977
.46329999,9.9883175,2.5999999,95.300003,50.599998,45027,2.5,4.4490643,0,75.255043,38.099998,12.4,6.5954924,2.5,45027
.221,40,2.8599999,100,54.099998,32123,0,11.920529,0,68.724281,59.599998,43.599998,0,0,32123
.39320001,20.305897,2.3699999,88.599998,22.6,31155,4.5999999,4.6802597,0,94.121353,45.099998,17.799999,4.2851996,4.5999999,31155
.41409999,8.766716,2.9100001,95.400002,49.099998,43640,1.1,5.4588795,0,94.614967,44.700001,16.200001,5.43888,1.1,43640
.42300001,3.7837837,2.7,94.099998,46.900002,44937,1.7,3.745672,0,91.474243,42,15.2,3.6412079,1.7,44937
.37740001,8.0733948,2.8199999,96.900002,52.099998,48540,1.4,5.5442867,0,96.503593,42,12.7,5.0277815,1.4,48540
.35749999,10.566743,2.8599999,95.199997,35.900002,35943,1.1,7.9589844,.1430743,94.002884,40.299999,12.2,6.5892358,1.1,35943
.4377,17.047817,2.46,85.099998,23.700001,28964,3.5,9.3156729,.18047935,80.796829,41,17.700001,4.638721,3.5,28964
.44170001,12.78079,2.74,91.699997,28.799999,30057,3.3,8.2969437,0,88.546059,37.900002,11.9,15.113463,3.3,30057
.41260001,7.3181682,2.74,96.400002,65.699997,47993,2.5999999,3.6210608,0,71.789795,38,12.3,4.2255912,2.5999999,47993
.4197,14.160583,2.51,87.400002,30.5,28418,2.5999999,4.8250084,0,84.199043,39.400002,16.200001,4.5398774,2.5999999,28418
.4373,13.142554,2.3699999,93.599998,32.099998,35345,4.9000001,6.195044,0,95.129654,46.700001,19.5,5.5242391,4.9000001,35345
